old_frame,new_frame
Defend,Defending
Permitting,Deny_or_grant_permission
Make_possible_to_do,Preventing_or_letting
Birth,Giving_birth
Preventing,Preventing_or_letting
Place_weight_on,Emphasizing
Working_on,Work
Adorning,Abounding_with
Prohibiting,Prohibiting_or_licensing
Deny_permission,Deny_or_grant_permission
Prevent_from_having,Prevent_or_allow_possession
Speed,Speed_description
Influence_of_event_on_cognizer,Subjective_influence
Inchoative_attaching,Becoming_attached
Hear,Hearsay
Progress,Progression
Inchoative_change_of_temperature,Change_of_temperature
Possibilities,Alternatives
Become_silent,Becoming_silent
